Player,Gross P/W (GBP/EUR),Gross P/W (USD),Gross P/Min(USD),Gross P/Y  (GBP/EUR),Gross P/Y (USD),Gross P/Y  (GBP/EUR) BONUS,Signed,Gross Remaining (USD),Status,Pos.,Pos.,Age,Country,Club,Competition,
Phil Foden,225000,285750,28.34821429,11700000,14859000,,44848,#REF!,Starter,F,RW,24,England,Manchester City,Premier League,
Jules Koundé,260577,281423.16,27.91896429,13550000,14634000,,44770,#REF!,Starter,D,RB,25,France,Barcelona,La Liga,
Michael Olise,259615,280384.2,27.81589286,13500000,14580000,,45480,#REF!,Starter,F,RW,22,France,Bayern Munich,Bundesliga,
Virgil van Dijk,220000,279400,27.71825397,11440000,14528800,,44421,#REF!,Starter,D,CB,33,Netherlands,Liverpool,Premier League,
Rodri,220000,279400,27.71825397,11440000,14528800,,44754,#REF!,Reserve,M,DM,28,Spain,Manchester City,Premier League,
Gianluigi Donnarumma,244808,264392.64,26.22942857,12730000,13748400,5450000,44391,#REF!,Starter,K,GK,25,Italy,Paris Saint-Germain,Ligue 1,
Randal Kolo Muani,244808,264392.64,26.22942857,12730000,13748400,,45170,#REF!,Starter,F,CF,25,France,Paris Saint-Germain,Ligue 1,
Antoine Griezmann,240385,259615.8,25.75553571,12500000,13500000,,45108,#REF!,Starter,F,CF,33,France,Atletico Madrid,La Liga,
Raphinha,240385,259615.8,25.75553571,12500000,13500000,,44755,#REF!,Starter,F,RW,27,Brazil,Barcelona,La Liga,
Aurélien Tchouaméni,240385,259615.8,25.75553571,12500000,13500000,,44743,#REF!,Starter,M,DM,24,France,Real Madrid,La Liga,
Eduardo Camavinga,240385,259615.8,25.75553571,12500000,13500000,,45237,#REF!,Starter,M,CM,21,France,Real Madrid,La Liga,
Rodrygo,240385,259615.8,25.75553571,12500000,13500000,,45232,#REF!,Starter,F,RW,23,Brazil,Real Madrid,La Liga,
Thomas Partey,200000,254000,25.1984127,10400000,13208000,,44109,#REF!,Starter,M,DM,31,Ghana,Arsenal FC,Premier League,
Wesley Fofana,200000,254000,25.1984127,10400000,13208000,,44804,#REF!,Starter,D,CB,23,France,Chelsea,Premier League,
Ben Chilwell,200000,254000,25.1984127,10400000,13208000,,45027,#REF!,Reserve,D,LB,27,England,Chelsea,Premier League,
Josko Gvardiol,200000,254000,25.1984127,10400000,13208000,,45143,#REF!,Starter,D,LB,22,Croatia,Manchester City,Premier League,
Antony,200000,254000,25.1984127,10400000,13208000,,44803,#REF!,Reserve,F,RW,24,Brazil,Manchester United,Premier League,
Nicolò Barella,231538,250061.04,24.80764286,12040000,13003200,930000,45454,#REF!,Starter,M,CM,27,Italy,Inter Milan,Serie A,
Min-jae Kim,230769,249230.52,24.72525,12000000,12960000,,45125,#REF!,Starter,D,CB,27,South Korea,Bayern Munich,Bundesliga,
